sample_id,seed,Lx,Ly,km,ki,N,phi,gmin,boundary_margin,a_min,a_max,b_min,b_max,theta_min_deg,theta_max_deg
batch_0_a8a5fb12,322425384,0.909,1.044,1.0,10.0,153,0.36859760073514175,0.005,0.02,0.01905833952226366,0.057175018566790976,0.00952916976113183,0.03811667904452732,0.0,180.0
batch_1_48ed855b,834514664,0.976,0.832,1.0,10.0,54,0.15962115956420983,0.005,0.02,0.017042855381527985,0.05112856614458395,0.008521427690763993,0.03408571076305597,0.0,180.0
batch_0_075189fc,32675892,0.839,0.914,1.0,10.0,124,0.2555675095108371,0.005,0.02,0.01600177439575831,0.048005323187274934,0.008000887197879156,0.03200354879151662,0.0,180.0
batch_1_93b8ad2d,176301911,0.858,0.802,1.0,10.0,33,0.1443507500638241,0.005,0.02,0.01881401877732722,0.05644205633198165,0.00940700938866361,0.03762803755465444,0.0,180.0
batch_0_e002c50b,952064358,1.163,1.143,1.0,10.0,169,0.24370666885723472,0.005,0.02,0.01639111730695796,0.049173351920873874,0.00819555865347898,0.03278223461391592,0.0,180.0
batch_1_cc76240f,238351049,0.972,1.027,1.0,10.0,86,0.19009278291444606,0.005,0.02,0.017604047458499746,0.052812142375499235,0.008802023729249873,0.03520809491699949,0.0,180.0
